CASE,rationale,Completeness,Contrastiveness,Plausibility,Satisfaction,Understandability,rationale_id,model,rationale_length,gender,age,country,education,employement
215,RE11,4,5,5,5,5,58,MT+CF:RevRationales,421,male,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
215,RE13,2,1,2,4,4,338,MT+CF:RevRationales,393,male,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
215,RE16,4,4,5,5,5,112,CF:PosRationales,240,male,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
215,RE17,1,2,2,4,4,135,CF:PosRationales,207,male,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
215,RE18,2,1,4,4,5,131,MT+CF:PosRationales,215,male,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
215,RE19,4,4,5,5,5,128,MT+CF:PosRationales,274,male,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
216,RE08,2,2,2,2,4,231,MT:PosRationales,169,male,40 to 44 years old,United States,Other degree,Employee
216,RE09,4,4,4,4,4,280,CF:PosRationales,212,male,40 to 44 years old,United States,Other degree,Employee
216,RE10,4,4,4,4,4,171,MT+CF:PosRationales,223,male,40 to 44 years old,United States,Other degree,Employee
216,RE11,1,1,1,4,1,232,MT+CF:RevRationales,454,male,40 to 44 years old,United States,Other degree,Employee
216,RE12,4,4,4,4,4,37,MT+CF:RevRationales,431,male,40 to 44 years old,United States,Other degree,Employee
216,RE14,4,4,4,4,4,269,MT:PosRationales,298,male,40 to 44 years old,United States,Other degree,Employee
216,RE15,4,4,4,4,4,76,MT:PosRationales,255,male,40 to 44 years old,United States,Other degree,Employee
216,RE16,2,4,2,4,4,368,CF:PosRationales,157,male,40 to 44 years old,United States,Other degree,Employee
216,RE17,2,2,2,3,4,184,CF:PosRationales,226,male,40 to 44 years old,United States,Other degree,Employee
216,RE18,3,4,4,4,4,308,MT+CF:PosRationales,222,male,40 to 44 years old,United States,Other degree,Employee
216,RE19,2,4,2,4,4,276,MT+CF:PosRationales,250,male,40 to 44 years old,United States,Other degree,Employee
217,RE08,3,3,4,4,5,140,MT:PosRationales,212,male,65 years or older,United Kingdom,Vocational university/university of applied sciences/university degree,Other
217,RE09,3,2,4,5,5,170,CF:PosRationales,276,male,65 years or older,United Kingdom,Vocational university/university of applied sciences/university degree,Other
217,RE10,4,3,5,4,5,383,MT+CF:PosRationales,236,male,65 years or older,United Kingdom,Vocational university/university of applied sciences/university degree,Other
217,RE11,2,2,3,2,5,45,MT+CF:RevRationales,263,male,65 years or older,United Kingdom,Vocational university/university of applied sciences/university degree,Other
217,RE12,3,2,4,2,5,195,MT+CF:RevRationales,311,male,65 years or older,United Kingdom,Vocational university/university of applied sciences/university degree,Other
217,RE13,3,2,5,3,4,308,MT+CF:RevRationales,325,male,65 years or older,United Kingdom,Vocational university/university of applied sciences/university degree,Other
217,RE14,4,5,5,4,5,114,MT:PosRationales,139,male,65 years or older,United Kingdom,Vocational university/university of applied sciences/university degree,Other
217,RE15,5,4,5,4,5,367,MT:PosRationales,282,male,65 years or older,United Kingdom,Vocational university/university of applied sciences/university degree,Other
217,RE16,4,2,5,4,5,84,CF:PosRationales,323,male,65 years or older,United Kingdom,Vocational university/university of applied sciences/university degree,Other
217,RE17,4,3,5,4,5,90,CF:PosRationales,206,male,65 years or older,United Kingdom,Vocational university/university of applied sciences/university degree,Other
217,RE18,4,3,5,4,5,220,MT+CF:PosRationales,238,male,65 years or older,United Kingdom,Vocational university/university of applied sciences/university degree,Other
217,RE19,5,3,5,4,5,183,MT+CF:PosRationales,188,male,65 years or older,United Kingdom,Vocational university/university of applied sciences/university degree,Other
218,RE08,4,1,4,4,4,257,MT:PosRationales,296,female,50 to 54 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Unemployed/seeking employment
218,RE09,5,5,5,5,5,45,CF:PosRationales,300,female,50 to 54 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Unemployed/seeking employment
218,RE10,5,5,5,5,5,14,MT+CF:PosRationales,213,female,50 to 54 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Unemployed/seeking employment
218,RE11,4,4,5,4,4,178,MT+CF:RevRationales,376,female,50 to 54 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Unemployed/seeking employment
218,RE12,5,5,5,5,5,93,MT+CF:RevRationales,243,female,50 to 54 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Unemployed/seeking employment
218,RE13,5,5,5,5,5,55,MT+CF:RevRationales,254,female,50 to 54 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Unemployed/seeking employment
218,RE14,5,3,5,5,5,151,MT:PosRationales,220,female,50 to 54 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Unemployed/seeking employment
218,RE15,5,5,5,5,5,94,MT:PosRationales,166,female,50 to 54 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Unemployed/seeking employment
218,RE16,5,5,5,5,5,356,CF:PosRationales,417,female,50 to 54 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Unemployed/seeking employment
218,RE17,5,5,5,5,5,93,CF:PosRationales,145,female,50 to 54 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Unemployed/seeking employment
218,RE18,4,4,4,4,5,155,MT+CF:PosRationales,292,female,50 to 54 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Unemployed/seeking employment
218,RE19,5,5,5,5,5,18,MT+CF:PosRationales,216,female,50 to 54 years old,United Kingdom,"Vocational baccalaureate diploma, vocational secondary certification",Unemployed/seeking employment
219,RE08,3,2,4,4,5,173,MT:PosRationales,260,female,30 to 34 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
219,RE09,4,5,5,4,5,119,CF:PosRationales,308,female,30 to 34 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
219,RE10,4,4,4,4,5,189,MT+CF:PosRationales,131,female,30 to 34 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
219,RE11,4,4,5,4,5,152,MT+CF:RevRationales,346,female,30 to 34 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
219,RE12,5,5,5,5,5,149,MT+CF:RevRationales,462,female,30 to 34 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
219,RE13,5,5,5,5,5,209,MT+CF:RevRationales,568,female,30 to 34 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
219,RE14,3,2,5,5,5,204,MT:PosRationales,203,female,30 to 34 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
219,RE15,4,2,5,4,5,291,MT:PosRationales,232,female,30 to 34 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
219,RE16,4,5,5,5,5,322,CF:PosRationales,230,female,30 to 34 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
219,RE17,3,4,4,3,4,197,CF:PosRationales,192,female,30 to 34 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
219,RE18,5,4,5,5,5,349,MT+CF:PosRationales,228,female,30 to 34 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
219,RE19,4,4,5,4,5,78,MT+CF:PosRationales,157,female,30 to 34 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
220,RE08,3,5,4,4,4,293,MT:PosRationales,209,female,40 to 44 years old,United Kingdom,Other degree,Civil servant
220,RE10,5,5,5,5,5,372,MT+CF:PosRationales,194,female,40 to 44 years old,United Kingdom,Other degree,Civil servant
220,RE11,5,5,5,5,5,81,MT+CF:RevRationales,279,female,40 to 44 years old,United Kingdom,Other degree,Civil servant
220,RE12,2,5,3,2,4,270,MT+CF:RevRationales,491,female,40 to 44 years old,United Kingdom,Other degree,Civil servant
220,RE13,4,4,4,4,4,49,MT+CF:RevRationales,265,female,40 to 44 years old,United Kingdom,Other degree,Civil servant
220,RE14,4,4,5,4,5,277,MT:PosRationales,215,female,40 to 44 years old,United Kingdom,Other degree,Civil servant
220,RE15,5,5,5,5,5,97,MT:PosRationales,175,female,40 to 44 years old,United Kingdom,Other degree,Civil servant
220,RE16,5,5,5,5,5,165,CF:PosRationales,170,female,40 to 44 years old,United Kingdom,Other degree,Civil servant
220,RE19,5,5,5,5,5,255,MT+CF:PosRationales,290,female,40 to 44 years old,United Kingdom,Other degree,Civil servant
221,RE08,5,5,5,5,5,369,MT:PosRationales,177,male,45 to 49 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Employee
221,RE09,4,4,4,4,5,157,CF:PosRationales,355,male,45 to 49 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Employee
221,RE10,4,5,4,4,4,41,MT+CF:PosRationales,108,male,45 to 49 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Employee
221,RE11,3,3,3,3,3,145,MT+CF:RevRationales,538,male,45 to 49 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Employee
221,RE12,5,5,5,5,5,230,MT+CF:RevRationales,241,male,45 to 49 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Employee
221,RE13,4,4,4,4,4,272,MT+CF:RevRationales,477,male,45 to 49 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Employee
221,RE14,5,5,5,5,5,326,MT:PosRationales,155,male,45 to 49 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Employee
221,RE15,4,5,3,5,5,108,MT:PosRationales,241,male,45 to 49 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Employee
221,RE16,3,3,3,4,4,27,CF:PosRationales,259,male,45 to 49 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Employee
221,RE17,5,5,5,5,5,363,CF:PosRationales,325,male,45 to 49 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Employee
221,RE18,4,4,4,4,3,302,MT+CF:PosRationales,234,male,45 to 49 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Employee
221,RE19,4,4,4,5,4,368,MT+CF:PosRationales,158,male,45 to 49 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Employee
222,RE09,4,2,4,4,4,4,CF:PosRationales,169,female,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
222,RE10,5,2,5,5,5,38,MT+CF:PosRationales,187,female,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
222,RE11,4,2,4,3,4,119,MT+CF:RevRationales,296,female,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
222,RE14,5,2,5,5,5,195,MT:PosRationales,290,female,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
222,RE15,5,2,5,3,4,248,MT:PosRationales,155,female,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
222,RE17,4,5,5,3,5,9,CF:PosRationales,280,female,30 to 34 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
223,RE09,3,1,3,1,5,133,CF:PosRationales,317,female,15 to 19 years old,United States,Still in school,Pupil/in school
223,RE10,5,1,5,5,5,203,MT+CF:PosRationales,156,female,15 to 19 years old,United States,Still in school,Pupil/in school
223,RE12,1,4,1,1,2,299,MT+CF:RevRationales,441,female,15 to 19 years old,United States,Still in school,Pupil/in school
223,RE13,2,5,2,2,3,117,MT+CF:RevRationales,577,female,15 to 19 years old,United States,Still in school,Pupil/in school
223,RE15,5,1,5,5,5,364,MT:PosRationales,196,female,15 to 19 years old,United States,Still in school,Pupil/in school
223,RE16,5,1,5,4,5,246,CF:PosRationales,151,female,15 to 19 years old,United States,Still in school,Pupil/in school
223,RE17,1,1,1,1,2,178,CF:PosRationales,319,female,15 to 19 years old,United States,Still in school,Pupil/in school
223,RE18,4,1,4,2,4,188,MT+CF:PosRationales,133,female,15 to 19 years old,United States,Still in school,Pupil/in school
223,RE19,5,1,5,5,5,5,MT+CF:PosRationales,175,female,15 to 19 years old,United States,Still in school,Pupil/in school
224,RE08,4,4,4,4,4,284,MT:PosRationales,236,male,30 to 34 years old,No answer,Vocational university/university of applied sciences/university degree,University student
224,RE09,5,5,4,4,5,234,CF:PosRationales,191,male,30 to 34 years old,No answer,Vocational university/university of applied sciences/university degree,University student
224,RE10,5,5,5,4,4,339,MT+CF:PosRationales,152,male,30 to 34 years old,No answer,Vocational university/university of applied sciences/university degree,University student
224,RE11,5,4,5,4,5,242,MT+CF:RevRationales,338,male,30 to 34 years old,No answer,Vocational university/university of applied sciences/university degree,University student
224,RE13,5,5,5,4,5,96,MT+CF:RevRationales,999,male,30 to 34 years old,No answer,Vocational university/university of applied sciences/university degree,University student
224,RE14,4,5,4,4,4,39,MT:PosRationales,136,male,30 to 34 years old,No answer,Vocational university/university of applied sciences/university degree,University student
224,RE15,4,5,5,4,5,144,MT:PosRationales,322,male,30 to 34 years old,No answer,Vocational university/university of applied sciences/university degree,University student
224,RE16,5,5,4,4,4,69,CF:PosRationales,326,male,30 to 34 years old,No answer,Vocational university/university of applied sciences/university degree,University student
224,RE17,4,4,4,5,4,321,CF:PosRationales,176,male,30 to 34 years old,No answer,Vocational university/university of applied sciences/university degree,University student
224,RE19,4,5,5,4,4,335,MT+CF:PosRationales,126,male,30 to 34 years old,No answer,Vocational university/university of applied sciences/university degree,University student
225,RE08,4,4,4,4,4,12,MT:PosRationales,215,female,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
225,RE09,4,5,4,4,4,106,CF:PosRationales,145,female,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
225,RE10,4,5,4,5,4,64,MT+CF:PosRationales,171,female,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
225,RE11,3,4,3,3,3,217,MT+CF:RevRationales,1279,female,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
225,RE12,4,4,4,4,4,236,MT+CF:RevRationales,647,female,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
225,RE13,4,4,4,4,5,139,MT+CF:RevRationales,468,female,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
225,RE14,4,5,4,4,4,9,MT:PosRationales,306,female,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
225,RE15,3,4,2,3,4,41,MT:PosRationales,149,female,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
225,RE16,4,4,3,3,4,32,CF:PosRationales,358,female,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
225,RE17,4,5,4,4,4,284,CF:PosRationales,260,female,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
225,RE18,4,5,4,3,5,69,MT+CF:PosRationales,298,female,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
225,RE19,4,5,4,3,4,278,MT+CF:PosRationales,249,female,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
226,RE09,4,2,4,3,4,117,CF:PosRationales,267,female,25 to 29 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
226,RE10,4,2,4,4,4,160,MT+CF:PosRationales,193,female,25 to 29 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
226,RE15,2,1,1,1,4,355,MT:PosRationales,284,female,25 to 29 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
226,RE16,4,3,4,4,4,331,CF:PosRationales,279,female,25 to 29 years old,United Kingdom,Vocational university/university of applied sciences/university degree,Employee
227,RE08,4,1,5,2,5,218,MT:PosRationales,194,female,25 to 29 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Self-employed
227,RE09,5,1,5,5,5,164,CF:PosRationales,241,female,25 to 29 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Self-employed
227,RE10,4,1,5,4,5,201,MT+CF:PosRationales,291,female,25 to 29 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Self-employed
227,RE11,2,1,1,1,5,21,MT+CF:RevRationales,301,female,25 to 29 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Self-employed
227,RE12,5,1,5,2,5,373,MT+CF:RevRationales,504,female,25 to 29 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Self-employed
227,RE13,2,1,4,2,5,374,MT+CF:RevRationales,354,female,25 to 29 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Self-employed
227,RE14,5,5,5,4,5,128,MT:PosRationales,321,female,25 to 29 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Self-employed
227,RE15,5,1,5,5,5,3,MT:PosRationales,165,female,25 to 29 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Self-employed
227,RE16,3,1,4,2,5,173,CF:PosRationales,252,female,25 to 29 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Self-employed
227,RE17,2,1,1,1,4,272,CF:PosRationales,316,female,25 to 29 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Self-employed
227,RE18,5,1,5,5,5,230,MT+CF:PosRationales,214,female,25 to 29 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Self-employed
227,RE19,5,1,5,5,5,219,MT+CF:PosRationales,205,female,25 to 29 years old,United Kingdom,Secondary school-leaving certificate/Junior High Diploma,Self-employed
228,RE08,4,5,4,4,4,307,MT:PosRationales,169,female,60 to 64 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Civil servant
228,RE09,4,4,4,5,4,102,CF:PosRationales,155,female,60 to 64 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Civil servant
228,RE10,4,4,4,5,4,56,MT+CF:PosRationales,327,female,60 to 64 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Civil servant
228,RE11,4,4,4,4,4,300,MT+CF:RevRationales,369,female,60 to 64 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Civil servant
228,RE12,4,5,4,4,4,60,MT+CF:RevRationales,339,female,60 to 64 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Civil servant
228,RE13,4,4,4,4,4,194,MT+CF:RevRationales,270,female,60 to 64 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Civil servant
228,RE14,4,4,4,4,4,200,MT:PosRationales,220,female,60 to 64 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Civil servant
228,RE15,4,4,4,4,4,102,MT:PosRationales,215,female,60 to 64 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Civil servant
228,RE16,4,4,4,4,4,300,CF:PosRationales,217,female,60 to 64 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Civil servant
228,RE17,4,4,4,4,4,374,CF:PosRationales,252,female,60 to 64 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Civil servant
228,RE18,4,4,4,4,4,193,MT+CF:PosRationales,140,female,60 to 64 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Civil servant
228,RE19,4,4,4,4,5,366,MT+CF:PosRationales,289,female,60 to 64 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Civil servant
229,RE10,5,5,5,5,5,177,MT+CF:PosRationales,296,male,25 to 29 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
229,RE11,4,5,3,4,4,66,MT+CF:RevRationales,628,male,25 to 29 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
229,RE12,5,5,2,5,5,351,MT+CF:RevRationales,367,male,25 to 29 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
229,RE13,3,4,2,3,4,118,MT+CF:RevRationales,413,male,25 to 29 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
229,RE14,4,5,5,2,5,122,MT:PosRationales,256,male,25 to 29 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
229,RE15,5,5,5,5,5,133,MT:PosRationales,149,male,25 to 29 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
229,RE17,5,5,5,5,5,161,CF:PosRationales,255,male,25 to 29 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Unemployed/seeking employment
230,RE08,5,4,5,5,5,187,MT:PosRationales,258,male,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Civil servant
230,RE09,5,4,5,5,5,222,CF:PosRationales,181,male,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Civil servant
230,RE10,5,4,5,5,5,296,MT+CF:PosRationales,186,male,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Civil servant
230,RE11,5,4,5,5,5,124,MT+CF:RevRationales,337,male,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Civil servant
230,RE12,5,2,5,5,5,14,MT+CF:RevRationales,274,male,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Civil servant
230,RE13,5,4,5,5,5,161,MT+CF:RevRationales,483,male,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Civil servant
230,RE14,5,4,5,5,5,278,MT:PosRationales,282,male,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Civil servant
230,RE15,5,4,5,5,5,254,MT:PosRationales,171,male,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Civil servant
230,RE16,4,4,4,4,5,65,CF:PosRationales,216,male,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Civil servant
230,RE17,5,4,5,5,5,290,CF:PosRationales,211,male,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Civil servant
230,RE18,5,5,5,5,5,36,MT+CF:PosRationales,137,male,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Civil servant
230,RE19,5,5,5,5,5,212,MT+CF:PosRationales,171,male,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Civil servant
231,RE08,5,4,5,5,5,129,MT:PosRationales,247,female,50 to 54 years old,United Kingdom,Other degree,Other
231,RE09,3,3,3,3,4,349,CF:PosRationales,298,female,50 to 54 years old,United Kingdom,Other degree,Other
231,RE10,3,4,4,4,5,238,MT+CF:PosRationales,225,female,50 to 54 years old,United Kingdom,Other degree,Other
231,RE11,5,4,4,5,5,235,MT+CF:RevRationales,533,female,50 to 54 years old,United Kingdom,Other degree,Other
231,RE12,5,4,5,5,5,278,MT+CF:RevRationales,355,female,50 to 54 years old,United Kingdom,Other degree,Other
231,RE13,5,4,4,4,5,259,MT+CF:RevRationales,266,female,50 to 54 years old,United Kingdom,Other degree,Other
231,RE14,4,4,4,4,4,71,MT:PosRationales,190,female,50 to 54 years old,United Kingdom,Other degree,Other
231,RE15,5,4,5,5,5,299,MT:PosRationales,198,female,50 to 54 years old,United Kingdom,Other degree,Other
231,RE16,4,4,5,4,5,60,CF:PosRationales,209,female,50 to 54 years old,United Kingdom,Other degree,Other
